1. The Shawshank Redemption (1994),9.2
2. The Godfather (1972),9.2
3. The Dark Knight (2008),9
4. The Godfather: Part II (1974),9
5. 12 Angry Men (1957),9
6. Schindler's List (1993),8.9
7. The Lord of the Rings: The Return of the King (2003),8.9
8. Pulp Fiction (1994),8.9
9. The Lord of the Rings: The Fellowship of the Ring (2001),8.8
"10. The Good, the Bad and the Ugly (1966)",8.8
11. Forrest Gump (1994),8.8
12. Fight Club (1999),8.8
13. Inception (2010),8.7
14. The Lord of the Rings: The Two Towers (2002),8.7
15. Star Wars: Episode V - The Empire Strikes Back (1980),8.7
16. The Matrix (1999),8.7
17. Goodfellas (1990),8.7
18. One Flew Over the Cuckoo's Nest (1975),8.6
19. Se7en (1995),8.6
20. Seven Samurai (1954),8.6
21. It's a Wonderful Life (1946),8.6
22. The Silence of the Lambs (1991),8.6
23. Saving Private Ryan (1998),8.6
24. City of God (2002),8.6
25. Life Is Beautiful (1997),8.6
26. The Green Mile (1999),8.6
27. Star Wars (1977),8.6
28. Interstellar (2014),8.6
29. Terminator 2: Judgment Day (1991),8.5
30. Back to the Future (1985),8.5
31. Spirited Away (2001),8.5
32. Psycho (1960),8.5
33. Léon: The Professional (1994),8.5
34. The Pianist (2002),8.5
35. Parasite (2019),8.5
36. The Lion King (1994),8.5
37. Gladiator (2000),8.5
38. American History X (1998),8.5
39. The Usual Suspects (1995),8.5
40. The Departed (2006),8.5
41. Spider-Man: No Way Home (2021),8.5
42. The Prestige (2006),8.5
43. Casablanca (1942),8.5
44. Whiplash (2014),8.5
45. The Intouchables (2011),8.5
46. Modern Times (1936),8.5
47. Once Upon a Time in the West (1968),8.5
48. Hara-Kiri (1962),8.5
49. Grave of the Fireflies (1988),8.5
50. Alien (1979),8.4
51. Rear Window (1954),8.4
52. City Lights (1931),8.4
53. Memento (2000),8.4
54. Apocalypse Now (1979),8.4
55. Cinema Paradiso (1988),8.4
56. Indiana Jones and the Raiders of the Lost Ark (1981),8.4
57. Django Unchained (2012),8.4
58. WALL·E (2008),8.4
59. The Lives of Others (2006),8.4
60. Sunset Blvd. (1950),8.4
61. The Shining (1980),8.4
62. Paths of Glory (1957),8.4
63. The Great Dictator (1940),8.4
64. Avengers: Infinity War (2018),8.4
65. Witness for the Prosecution (1957),8.4
66. Aliens (1986),8.4
67. American Beauty (1999),8.3
68. The Dark Knight Rises (2012),8.3
69. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.3
70. Joker (2019),8.3
71. Spider-Man: Into the Spider-Verse (2018),8.3
72. Old Boy (2003),8.3
73. Braveheart (1995),8.3
74. Toy Story (1995),8.3
75. Amadeus (1984),8.3
76. Coco (2017),8.3
77. Inglourious Basterds (2009),8.3
78. The Boat (1981),8.3
79. Avengers: Endgame (2019),8.3
80. Princess Mononoke (1997),8.3
81. Once Upon a Time in America (1984),8.3
82. The Batman (2022),8.3
83. Good Will Hunting (1997),8.3
84. Toy Story 3 (2010),8.3
85. Requiem for a Dream (2000),8.3
86. 3 Idiots (2009),8.3
87. Your Name. (2016),8.3
88. Singin' in the Rain (1952),8.3
89. Star Wars: Episode VI - Return of the Jedi (1983),8.3
90. Reservoir Dogs (1992),8.3
91. Eternal Sunshine of the Spotless Mind (2004),8.3
92. 2001: A Space Odyssey (1968),8.3
93. Citizen Kane (1941),8.3
94. High and Low (1963),8.3
95. Lawrence of Arabia (1962),8.3
96. M (1931),8.3
97. Capernaum (2018),8.3
98. North by Northwest (1959),8.3
99. The Hunt (2012),8.3
100. Vertigo (1958),8.3
101. Amélie (2001),8.3
102. A Clockwork Orange (1971),8.3
103. Full Metal Jacket (1987),8.2
104. Scarface (1983),8.2
105. Double Indemnity (1944),8.2
106. Come and See (1985),8.2
107. The Apartment (1960),8.2
108. Taxi Driver (1976),8.2
109. To Kill a Mockingbird (1962),8.2
110. The Sting (1973),8.2
111. L.A. Confidential (1997),8.2
112. Up (2009),8.2
113. Hamilton (2020),8.2
114. Heat (1995),8.2
115. Ikiru (1952),8.2
116. Snatch (2000),8.2
117. Die Hard (1988),8.2
118. Indiana Jones and the Last Crusade (1989),8.2
119. A Separation (2011),8.2
120. Metropolis (1927),8.2
121. Bicycle Thieves (1948),8.2
122. Incendies (2010),8.2
123. 1917 (2019),8.2
124. Like Stars on Earth (2007),8.2
125. Batman Begins (2005),8.2
126. For a Few Dollars More (1965),8.2
127. Dangal (2016),8.2
128. Downfall (2004),8.2
129. The Kid (1921),8.2
130. Some Like It Hot (1959),8.2
131. The Father (2020),8.2
132. All About Eve (1950),8.2
133. Green Book (2018),8.2
134. The Wolf of Wall Street (2013),8.2
135. Unforgiven (1992),8.2
136. Casino (1995),8.2
137. Pan's Labyrinth (2006),8.2
138. Judgment at Nuremberg (1961),8.2
139. Ran (1985),8.2
140. A Beautiful Mind (2001),8.2
141. The Sixth Sense (1999),8.2
142. Monty Python and the Holy Grail (1975),8.2
143. There Will Be Blood (2007),8.2
144. The Truman Show (1998),8.2
145. Yojimbo (1961),8.2
146. The Treasure of the Sierra Madre (1948),8.2
147. Shutter Island (2010),8.2
148. The Great Escape (1963),8.2
149. Rashomon (1950),8.1
150. Jurassic Park (1993),8.1
151. Kill Bill: Vol. 1 (2003),8.1
152. Finding Nemo (2003),8.1
153. No Country for Old Men (2007),8.1
154. Raging Bull (1980),8.1
155. The Elephant Man (1980),8.1
156. V for Vendetta (2005),8.1
157. Gone with the Wind (1939),8.1
158. Chinatown (1974),8.1
159. Inside Out (2015),8.1
"160. Lock, Stock and Two Smoking Barrels (1998)",8.1
161. The Thing (1982),8.1
162. Dial M for Murder (1954),8.1
163. The Secret in Their Eyes (2009),8.1
164. Howl's Moving Castle (2004),8.1
165. The Bridge on the River Kwai (1957),8.1
166. Trainspotting (1996),8.1
"167. Three Billboards Outside Ebbing, Missouri (2017)",8.1
168. Warrior (2011),8.1
169. Gran Torino (2008),8.1
170. Fargo (1996),8.1
171. My Neighbor Totoro (1988),8.1
172. Prisoners (2013),8.1
173. Million Dollar Baby (2004),8.1
174. Blade Runner (1982),8.1
175. The Gold Rush (1925),8.1
176. Catch Me If You Can (2002),8.1
177. On the Waterfront (1954),8.1
178. Children of Heaven (1997),8.1
179. Harry Potter and the Deathly Hallows: Part 2 (2011),8.1
180. The Third Man (1949),8.1
181. Gone Girl (2014),8.1
182. Ben-Hur (1959),8.1
183. 12 Years a Slave (2013),8.1
184. The General (1926),8.1
185. The Deer Hunter (1978),8.1
186. Wild Strawberries (1957),8.1
187. Before Sunrise (1995),8.1
188. In the Name of the Father (1993),8.1
189. Pather Panchali (1955),8.1
190. Mr. Smith Goes to Washington (1939),8.1
191. The Grand Budapest Hotel (2014),8.1
192. Room (2015),8.1
193. Sherlock Jr. (1924),8.1
194. Hacksaw Ridge (2016),8.1
195. How to Train Your Dragon (2010),8.1
196. Memories of Murder (2003),8.1
197. The Wages of Fear (1953),8.1
198. The Seventh Seal (1957),8.1
199. Barry Lyndon (1975),8.1
200. The Big Lebowski (1998),8.1
201. Klaus (2019),8.1
202. Mad Max: Fury Road (2015),8.1
203. Wild Tales (2014),8.1
"204. Monsters, Inc. (2001)",8.1
205. Mary and Max (2009),8.1
206. Jaws (1975),8.1
207. The Passion of Joan of Arc (1928),8.1
208. Hotel Rwanda (2004),8.1
209. Rocky (1976),8.1
210. Dead Poets Society (1989),8.1
211. Tokyo Story (1953),8.1
212. Platoon (1986),8.1
213. Ford v Ferrari (2019),8.1
214. The Terminator (1984),8.1
215. Stand by Me (1986),8.1
216. Rush (2013),8
217. Into the Wild (2007),8
218. The Wizard of Oz (1939),8
219. Logan (2017),8
220. Spotlight (2015),8
221. Network (1976),8
222. Groundhog Day (1993),8
223. The Exorcist (1973),8
224. Ratatouille (2007),8
225. Hachi: A Dog's Tale (2009),8
226. The Incredibles (2004),8
227. Dersu Uzala (1975),8
228. The Best Years of Our Lives (1946),8
229. Before Sunset (2004),8
230. Rebecca (1940),8
231. Dune (2021),8
232. My Father and My Son (2005),8
233. The Grapes of Wrath (1940),8
234. Cool Hand Luke (1967),8
235. To Be or Not to Be (1942),8
236. The Battle of Algiers (1966),8
237. Amores perros (2000),8
238. Pirates of the Caribbean: The Curse of the Black Pearl (2003),8
239. The Sound of Music (1965),8
240. Life of Brian (1979),8
241. The 400 Blows (1959),8
242. Persona (1966),8
243. It Happened One Night (1934),8
244. La Haine (1995),8
245. Aladdin (1992),8
246. Beauty and the Beast (1991),8
247. Jai Bhim (2021),8
248. Gandhi (1982),8
249. The Help (2011),8
250. The Handmaiden (2016),8
